country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",11-07-2026 14:00,26.071318,91.87488,OZONE,20,30,23
India,Assam,Guwahati,"IITG, Guwahati - PCBA",11-07-2026 14:00,26.2028636,91.70046436,PM10,10,80,28
India,Assam,Guwahati,"IITG, Guwahati - PCBA",11-07-2026 14:00,26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA",11-07-2026 14:00,26.2028636,91.70046436,CO,5,6,6
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",11-07-2026 14:00,26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",11-07-2026 14:00,26.10887,91.589544,PM2.5,17,71,42
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",11-07-2026 14:00,26.10887,91.589544,NO2,10,20,15
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",11-07-2026 14:00,26.1875,91.744194,CO,16,21,19
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",11-07-2026 14:00,26.1875,91.744194,OZONE,16,24,19
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",11-07-2026 14:00,26.349082,92.68449,OZONE,9,14,12
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-07-2026 14:00,26.446912,91.439057,NO2,14,15,14
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-07-2026 14:00,26.446912,91.439057,NH3,6,6,6
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-07-2026 14:00,24.82827,92.79525,PM10,43,56,50
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-07-2026 14:00,24.82827,92.79525,SO2,4,7,6
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",11-07-2026 14:00,26.80365,84.51954,SO2,13,16,14
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",11-07-2026 14:00,25.265194,87.012947,PM10,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",11-07-2026 14:00,25.265194,87.012947,NO2,6,9,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",11-07-2026 14:00,25.265194,87.012947,SO2,1,69,25
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",11-07-2026 14:00,25.204762,85.51496,NO2,9,10,9
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",11-07-2026 14:00,25.204762,85.51496,NH3,3,4,3
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",11-07-2026 14:00,25.204762,85.51496,CO,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",11-07-2026 14:00,25.56752,83.966379,NO2,9,10,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",11-07-2026 14:00,25.56752,83.966379,SO2,27,33,29
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",11-07-2026 14:00,25.7808257,84.7446768,PM10,109,122,113
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",11-07-2026 14:00,16.5150833,80.5181667,NH3,3,4,3
India,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",11-07-2026 14:00,14.675886,77.593027,PM2.5,56,190,91
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",11-07-2026 14:00,13.20488,79.097889,PM2.5,60,119,73
India,Andhra Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",11-07-2026 14:00,13.20488,79.097889,PM10,63,108,74
India,Andhra Pradesh,Eluru,"District Court, Eluru - APPCB",11-07-2026 14:00,16.711754,81.092095,CO,13,25,18
India,Andhra Pradesh,Eluru,"District Court, Eluru - APPCB",11-07-2026 14:00,16.711754,81.092095,OZONE,5,15,11
India,Andhra Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",11-07-2026 14:00,16.316553,80.413302,PM2.5,41,57,46
